エキスパートシステムとは…AIを実現するための技術の一つで、医療や法律などの専門分野の知識を取り込み、それに基づく推論・アドバイスを可能とするシステムである。世界初のエキスパートシステムは何年に開発された？,,1965年,1980年代にはエドワード・ファイゲンバウムの提唱した知識工学を基に、多くの企業がこのシステムを業務に導入するなど実用的ツールとして広く利用されるようになり、第二次AIブームが訪れたが、その後終結してしまった。
エキスパートシステムが世界で初めて開発された1965年頃…当時はまだテクノロジーが未熟だったため「　①　」は困難であった。また、AIは人間の手でインプットされたプログラムに従って機械的に処理しているに過ぎなかったため、莫大なコストと時間が必要だった。さらに、専門家の知識や規則の中にはお互い矛盾するものや定式化できないものも多く、それらの論理体系をコンピュータ上の単純で伝統的なアルゴリズムで再現することは非常に難しいと言う「　②　」の問題などが原因であった。,,①インターネットを通じて情報を収集すること、　②フレーム問題,
哲学用語で「存在論」を意味し、情報科学の分野では「概念化の明示的・形式的な仕様」と定義され、知識やデータ処理について記載する際のルールブックの役割を果たしているオントロジーであるが…最も汎用性・抽象度が高く、特定の分野や知識領域の範疇を越えて適用されているものは「」オントロジー？,,上位オントロジー,
現代版のバベルの塔とも呼ばれている一般常識を知識ベース化するプロジェクト「Cycプロジェクト」を通じて、判明したことは…「人間の知識レベルには限界があるため、一般常識を知識ベース化することは容易である」○か×か,,×,人間の知識は常に更新されており、その知識量は膨大であるため、一般常識を知識ベース化することは非常に困難
現代版のバベルの塔とも呼ばれている一般常識を知識ベース化するプロジェクト「Cycプロジェクト」を通じて、判明したことは…「人間の知識レベルには限界はないが、知識同士の関係を整理・理解することで、一般常識を知識ベース化することが可能になった」○か×か,,×,人間の知識は常に更新されており、その知識量は膨大であるため、一般常識を知識ベース化することは非常に困難
現代版のバベルの塔とも呼ばれている一般常識を知識ベース化するプロジェクト「Cycプロジェクト」を通じて、判明したことは…「人間の知識は常に更新されており、その知識量は膨大であるため、一般常識を知識ベース化することは非常に困難である」○か×か,,○,
現代版のバベルの塔とも呼ばれている一般常識を知識ベース化するプロジェクト「Cycプロジェクト」を通じて、判明したことは…「昨今のディープラーニング技術により、Cycプロジェクトは完了することがわかった」○か×か,,×,人間の知識は常に更新されており、その知識量は膨大であるため、一般常識を知識ベース化することは非常に困難
2012年の画像認識コンペティションImageNet Large Scale Visual Recognition Competition (ILSVRC) において「　　」と呼ばれるCNNを用いた手法が、周囲と大差をつけて優勝し、一躍深層学習が注目されることとなった。,,AlexNet,
2015年のILSVRCで優勝したモデルの名称は？,,ResNet,
ディープラーニングの手法はCNN (Convolutional Neural Network)を基礎としているが…「初期代表モデルは LeNetとResNetだった」○か×か,,×,2012年はAlexNet、2014年はGoogleNet、2015年はResNetが優勝
ディープラーニングの手法はCNN (Convolutional Neural Network)を基礎としているが…「2014年に開催されたImageNetを使った大規模画像認識のコンペILSVRC(ImageNet Large Scale Visual Recognition Challenge)でAlexNet が圧倒的な成績で優勝して以降、ディープラーニングの主要な手法は画像認識となった」○か×か,,×,2012年はAlexNet、2014年はGoogleNet、2015年はResNetが優勝
ディープラーニングの手法はCNN (Convolutional Neural Network)を基礎としているが…「VGG16、VGG19 は、AlexNetをより深くした畳み込み層とプーリング層から成るCNNで、畳み込み層や全結合層をそれぞれ16層、19層重ねたもの」○か×か,,○,
ディープラーニングの手法はCNN (Convolutional Neural Network)を基礎としているが…「2015年のILSVRCで優勝したGoogLeNetというネットワークは、それまでのネットワークでは層を深くしすぎると性能が落ちるという問題があったが、それを「スキップ構造」によって解決し、152層もの深さを実現した」○か×か,,×,2012年はAlexNet、2014年はGoogleNet、2015年はResNetが優勝
2014年の画像認識コンペティションImageNet Large Scale Visual Recognition Competition (ILSVRC) で1位を受賞し、通常の入力層から出力層まで一直線な構造ではなく、横にも層が広がるインセプション構造と呼ばれる構造をしているアーキテクチャは？,,GoogleNet,
AIが犯したようにみえる事故の責任について、議論のポイントとなるのは…「全ての事故の責任はAIを作った個人や企業にある」○か×か,,×,AIは責任分解点が難しいため、責任の所在を画一的に決めることは困難
AIが犯したようにみえる事故の責任について、議論のポイントとなるのは…「全ての事故の責任はAIを導入・運用している個人や企業にある」○か×か,,×,AIは責任分解点が難しいため、責任の所在を画一的に決めることは困難
AIが犯したようにみえる事故の責任について、議論のポイントとなるのは…「全ての事故の責任は対象地域の地方自治体になる」○か×か,,×,AIは責任分解点が難しいため、責任の所在を画一的に決めることは困難
AIが犯したようにみえる事故の責任について、議論のポイントとなるのは…「AIは責任分解点が難しいため、責任の所在を画一的に決めることは困難である」○か×か,,○,
2015年にGoogle Photoが起こした問題とは？,,黒人女性の写真が「ゴリラ」というタグで分類されていた。Google社は問題に対し公開謝罪をし、「ゴリラ」のタグを当面は使用停止にすると公表。,
強化学習とは（教師あり学習・教師なし学習のような明確なデータを元にした学習ではなく）プログラム自体が与えられた環境を観測し、行動の結果で報酬が最も多く得られる行動を自ら学習し選択していくのに加え、行動についての評価も自ら更新していくものである。次の選択肢のうち強化学習の応用例に当てはまらないものを一つ選べ⇒「人工知能AlphaGo(アルファ碁)のアルゴリズム」「自動車の自動運転」「エレベータの制御システム」「Google翻訳」,,Google翻訳,
IBMが開発したチェス専用のスーパーコンピュータ「Deep Blue」の主要技術は？,,評価関数,
第一次AIブームは1950年代に起こった。この頃に人工知能と呼ばれたプログラムは「　ア　」をもとに問題を解いていた。特に、1996年にIBMが開発した「　イ　」は、チェスの世界チャンピオンであるガルリ・カスパロフに勝利したことで有名である。しかし、ルールや設定が決まりきった迷路やパズルゲームなどの「　ウ　」と呼ばれる問題しか解けないという課題があったために、研究は下火になった。,,ア：探索・推論、　イ：Deep Blue、　ウ：トイ・プロブレム,第一次AIブームは「推論・探索」を元に問題を解くAIの研究が進んだ時代。IBMが開発したチェス専用のプログラム「Deep Blue」は、機械が人間に勝利したということで注目を浴びました（ちなみに…Bonkras、Ponanzaは、コンピューター将棋のソフトウェア）。DeepBlueのような劇的な成果もあったが、それでも「推論・探索」による手法では明確なルールのあるゲームのような問題（トイ・プロブレム、おもちゃの問題）は解ける一方で、現実世界の複雑な問題への対応は難しく、第一次AIブームは終焉を迎えた。
第二次AIブームが起こった際に取り上げられた問題「フレーム問題」とは？,,有限な情報処理能力では、 知識を用いて現実のあらゆる問題を解くことは難しい,フレーム問題とは、「コンピューターにはある問題を解くために、必要な知識だけを取り出して使うことが困難」という問題。ダニエル・デネットはこの問題を、「洞窟からバッテリーと爆弾を取り出すロボットのたとえ」で説明している。
第二次AIブームが起こった際に取り上げられた問題「シンボルグラウンディング問題」とは？,,単語の文字列などの記号と、それの表す意味を結びつけることが難しい,人間は単語と意味を結び付けて理解しているため、例えばシマのある馬を見て「あれが世に聞くシマウマかな」とか、白いクマを見て「あれがいわゆるシロクマかしら」とか、桃の枝をちょっきり切るゾウムシを見て「ひょっとしてあれが、モモチョッキリゾウムシなんじゃない？」といった認識や推察ができる。が、一方、コンピューターは単語と意味を結び付けて理解しているわけではないので、そうした認識はできない。
教師あり学習の問題は出力値の種類によって､大きく２種類に分けられる。「　A　」問題は出力が離散値であり､カテゴリーを予測したいときに利用される。一方､「　B　」問題は出力が連続値であり､その連続値そのものを予測したいときに利用される。,,A：分類、　B：回帰,「分類」はあらかじめ設定されたカテゴリにデータを分けたい、つまりカテゴリ（離散値）を予測したい時の手法…画像分類、スパム判定など。「回帰」は、データから何らかの数値（連続値）を予測したい時の手法…売上予測、家賃予測など。
「分類」と「クラスタリング」の違いは？,,「正解＝分析者側で事前に用意したクラス分けがあるか否か」。教師あり学習の「分類」は、あらかじめ用意したクラスにデータを分ける手法。教師なし学習の「クラスタリング」は、データの構造から自動的にクラスタ（まとまり）を導き出すという手法。,
"分類問題にはさまざまな性能指標がある。ここでは、サンプルを陽性（Positive）と陰性（Negative）の2クラスに分ける2値分類を考える。「　ア　」は単純にサンプル全体のうち、予測が正解したサンプル数の比を取ったものである。また、偽陽性（False Positive, FP）を減らすことを重視する場合には「　イ　」を、逆に偽陰性（False Negative, FN）を減らすことを重視する場合には「　ウ　」を採用することが望ましい。しかし、この両者はトレードオフの関係にあることから、それらの調和平均を取った「　エ　」　が利用されることも多い。",,ア：正答率、　イ：適合率、　ウ：再現率、　エ：f値,正答率（正解率）＝全データのうち、予測が当たった割合//適合率＝予測が陽性だった中で、実際に陽性だった割合//再現率＝　実際に陽性だったケースを正しく予測できた割合//F値＝適合率と再現率の調和平均
学習データに教師データと呼ばれる正解ラベルつきのデータを用いる手法は「　ア　」と呼ばれ、対照的に正解ラベルがないデータを利用する手法は「　イ　」と呼ばれる。また、正解ラベルが一部のサンプルにのみ与えられている「　ウ　」という手法も存在する。,,ア：教師あり学習、　イ：教師なし学習、　ウ：半教師あり学習,
あるニューラルネットワークのモデルを学習させた際､テストデータに対する誤差を観測していた｡そのとき､学習回数が100を超えるまでは誤差が順調に下がり続けていたが､それ以降は誤差が徐々に増えるようになってしまった｡その理由は…学習回数が増えるほど、「　　」ため。,,学習データにのみ最適化されるようになってしまう,「過学習」のこと。モデルが学習データにのみ最適化され、未知のデータに対する精度が落ちているという状態。
「過学習」の対策…「　ア　」は、誤差関数にモデルの重みがとり得る値の範囲を制限する項（正則化項）を追加することでモデルが複雑になりすぎることを防ぐ。「　イ　」は、ランダムにニューロンを非活性化することで、毎回異なるネットワークで学習を行う。「　ウ　」は、誤差関数の値が上がり始めた時点で学習を止める。,,ア：正則化、　イ：ドロップアウト、　ウ：Early Stopping,
画像認識の国際的なコンペティションのひとつに、ILSVRC（ImageNet Large Scale Visual Recognition Competition）がある。ここで、2012年にCNNのモデルである「　ア　」が優勝を飾った。それからというもの、続けざまにCNNのモデルが高い成果を上げている。2014年にはインセプションモジュールという構造を利用した「　イ　」が優勝し、オックスフォード大のチームが開発した「　ウ　」もまたそれに迫る優秀な成績を収めた。また、2015年には残差学習という深いネットワークの学習を可能にした「　エ　」がそれぞれ優勝している。,,ア：AlexNet、　イ：GoogLeNet、　ウ：VGG16、　エ：ResNet,
ロボティクス分野でも、機械学習の応用が進められている。例えば、ロボットの動作制御にQ学習やモンテカルロ法などを用いる「　ア　」のアルゴリズムを利用する事例は多く存在する。また、ロボットはカメラ（視覚）、マイク（聴覚）、圧力センサ（触覚）などの異なったセンサ情報を収集できる「　イ　」システムを持っていることから、これらの情報をDNNで統合的に処理する研究や、ロボットの一連の動作の生成をひとつのDNNで実現しようとする「　ウ　」の研究も行われている。,,ア：強化学習、　イ：マルチモーダル、　ウ：一気通貫学習,
人工ニューラルネットワークを学習するときにUnit数や層の数などあらかじめ決めておく必要のあるもののことを「　A　」と呼び、これを効率的に決定する方法には「　B　」などの方法がある。が、計算時間がかかるなどのデメリットもあり、「　C　」が用いられることも多い。,,A：ハイパーパラメータ、　B：グリッドサーチ（ランダムサーチもOK）、　C：ベイズ最適化,「グリッドサーチ」…与えられたハイパーパラメータの候補の値の全パターンのモデル構築を行う手法//「ランダムサーチ」…候補の値をランダムに組み合わせたモデル訓練を行いハイパーパラメータを検証する手法//「ベイズ最適化」…不確かさを利用して次に探索を行うべき値を探していく最適化アルゴリズムの一種
自然言語処理において、2013年にGoogle社により開発された「　A　」は、単語を「　B　」で表現することで、「王様」－「男性」＋「女性」＝「女王」といったアナロジータスクができるようになり、『単語の意味は「　C　」単語によって決まる』という「　D　」の主張を「　B　」に変換する手法で実現したものである。,,A：word2vec(ワード・ツー・ベック)、　B：ベクトル、　C：その周辺にある、　D：言語学,word2vec…ワードtoベクトル。テキスト処理を行うためのニューラルネットワークの。膨大なテキストデータを解析し、単語の意味をベクトル化することでその意味の類似性を計算したり、単語同士の意味を足し引きしたりできるようになる。
ニュートン法や最急降下法（勾配降下法）は誤差関数の最小化を目指すものだが、しばしば「　　」という局所最適解に収束してしまう,,大域的最適解,
統計には2種類ある。 「　A　」は「全データが対象」で、「　B　」は「元データからサンプリングしたデータから母集団の性質を推測」する。,,A：記述統計、　B：推計統計,
自然言語処理において、文章中の各単語の重要度を「１：他の文章をまたいでどれだけ出てきているか」「２：出現頻度」によって判定する手法は？,,TF-IDF,
アクセンチュアが年次調査レポートで発表した「　　」とは、ブロックチェーン、人工知能、拡張・強化現実、量子コンピュータの4つのテクノロジーからとったものだ。,,DARQ,distributed ledgers（分散型台帳技術、ブロックチェーン）、artificial intelligence（人工知能）、extended reality（拡張/強化現実）、quantum computing（量子コンピューティング）
自然言語処理において、2018年にGoogle社より提案された「　A　」という技術は、Transformerという「　B　」の手法を用いており、単語の一部を「　C　」て学習させるという工夫により、一つの単語が複数の使われ方をするというような複雑な意味関係も表現でき、様々な自然言語処理タスク（QA抽出、文書分類、品詞タグ付け等）で最高記録を樹立している,,A：BERT、　B：ディープラーニング、　C：別の単語に置き換え,BERT…「Bidirectional Encoder Representations from Transformers」の略で、「Transformerによる双方向のエンコード表現」と訳される。
第一次人工知能ブーム(1959-1960年代)が終焉した理由の一つに、この時代の人口知能は迷路やパズルのような簡単な問題「　　」は解けるが、現実の問題を解くことは難しいとされた。,,トイプロブレム,
主成分分析とオートエンコーダの共通点は、どちらも「　　」「　　」ができることである。当てはまるものを選べ⇒「次元圧縮」「検索」「教師なし学習」「教師あり学習」,,次元圧縮、教師なし学習,
国際的な画像認識のコンペティションであるILSVRC2017で優勝したニューラルネットワークの名称は？,,Squeeze and excitation,2017年はSqueeze and extraction。Squeeze and extraction networkではないので注意。
「　A　」社はTensorFlowという「　B　」を公開していることでも有名だが、独自でテンソル計算処理に最適化した演算処理装置を開発している。これを「　C　」と呼ぶ。,,A：Google、　B：オープンソース ソフトウェア ライブラリ、　C：TPU（Tensor Processing Unit）,
内部に「　A-1　」や「　A-2　」を持つRNN（再帰ニューラルネットワーク）は、「　B　」データを扱うことができるが、遠い過去の入力を保持（記憶）し、現在の出力に影響を与えることが難しい。ネットワークの構造自体は変えずに、ユニット（ノード）を工夫することでこの問題を解決する方法を「　C　」といい、それを更にシンプルにし計算コストを抑えたものを「　D　」という。ただし、「　D　」が「　C　」の改良版ということではなく、「　D　」よりも「　C　」の方が表現力が高いという主張もある。,,A：閉路、ループ構造、　B：時系列、　C：LSTM（Long Short-Term Memory）、　D：GRU(Gated Recurrent Unit),
敵対生成ネットワーク（別名：「　A　」）は、イアン・J・グッドフェロー（Ian J. Goodfellow）によって提唱された非常に画期的な「　B　」機械学習の仕組みである。「　C　」によって「機械学習において10年に一度の面白いアイデアだ」と賞賛された,,A：GAN（Generative Adversarial Networks）、　B：教師なし、　C：ヤン・ルカン ,C：ヤン・ルカン (Yann LeCun…FacebookのAI研究所所長。AI) 
敵対生成ネットワーク（別名：「　A　」）は、イアン・J・グッドフェロー（Ian J. Goodfellow）によって提唱された非常に画期的な「　B　」機械学習の仕組みである。この仕組みは、「　C　」という画像を生成するNNと、「　D　」という、それがNNによって生成されたものか、本当の画像かを判定するNNで構成される。,,A：GAN（Generative Adversarial Networks）、B：教師なし　C：ジェネレータ（Generator、生成）、　D：ディスクリミネータ,
オートエンコーダは、入力と出力のノード数が「　A　」。一見意味が無いように見えるが、実は「　B　」をおこなうことができる。入力層→「　C　」における処理を「　D　」、「　C　」→出力層における処理を「　E　」という。,,A：等しい、　B：次元圧縮、　C：隠れ層、　D：エンコード（encode）、　E：デコード（decode,
CNNにおいて、特徴表現を抽出する層を「　A　」といい、情報を集約する層のことを「　B　」という。通常のニューラルネットワークと同様、「　C　」が用いられるのが一般的。,,A：畳み込み層、　B：プーリング層、　C：誤差逆伝播法,誤差逆伝播法（ごさぎゃくでんぱほう）…予測値と実際との誤差をネットワークにフィードバックするアルゴリズム
[深層学習と機械学習の関係]深層学習は「　A　」に含まれ、機械学習は「　B　」に含まれる。,,A：機械学習、　B：人工知能,
画像の一定範囲ごとに入力の特徴量が得られるようなディープラーニングの手法は？,,CNN,
深層強化学習のDQNは「　A　」と「　B　」を組み合わせた技術である。2015年にNature誌に掲載されたDQNの論文で一躍有名になった「　C　」社が開発した「　D　」は当時の名声高いプロ棋士を破り世間を賑わせた。,,A：ディープラーニング、　B：Q学習、　C：DeepMind、　D：AlphaGo（アルファ碁）,
深層強化学習のDQNに関して…2015年にNature誌に掲載されたDQNの論文で一躍有名になった「　A　」社が開発した「　B　」は当時の名声高いプロ棋士を破り世間を賑わせた。また、「　C　」が2017年10月に発表され「　B　」を上回る性能を誇った。,,A：DeepMind、　C：AlphaGo（アルファ碁）、　C：AlphaGo Zero,C「AlphaGo Zero」は自己対局のみで学習をしていくと人間とは全く異なった視点で考えるが、人間を超える強さとなっている。
,,,
20210320受験,,,
20210401合格発表（無事合格）,,,
,この度は、2021年3月20日（土）開催の JDLA Deep Learning for GENERAL 2021#1 を受験頂き、,,
,ありがとうございました。,,
,下記の通り受験結果をお知らせ致します。,,
,,,
,=================,,
,【　合　格　】,,
,=================,,
,"総受験者数　6,062名",,
,"合格者数　　3,866名",,
,,,
,※得点および合格ラインは開示しておりません。,,
,　あらかじめご承知おきください。,,
,,,
,■【合格証】の発行につきまして,,
,　2021年4月12日(月)～5月3日(月)までに順次PDF型式にて送信させていただきます。,,
,,,
,■【合格認証ロゴ】の提供につきまして,,
,　合格証とは別に、合格認証ロゴデータをご提供いたします。,,
,　合格認証ロゴデータは、指定されたURLよりダウンロードする形でのご提供となります。,,
,　こちらも準備が整いましたら、2021年4月12日までに順次ご案内させていただきます。,,
